mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_c1cf25aa75,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 43 - 101888.0 - Cabo De Cobre Isolado, 25 Mm², Anti-Chama 450/750 V, Instalado Em Eletrocalha Ou Perfilado - Fornecimento E Instalação. Af_07/2025",0.0,32.06,0.0
mc_7a4c79b31b,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 44 - 101938.0 - Caixa De Proteção Para Medidor Monofásico De Embutir - Fornecimento E Instalação. Af_07/2025,0.0,252.01,0.0
mc_9096bd2143,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 45 - 101904.0 - Contator Tripolar I Nomimal 95A - Fornecimento E Instalação. Af_07/2025,0.0,1896.21,0.0
mc_417f7f0689,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 46 - 101901.0 - Contator Tripolar I Nominal 12A - Fornecimento E Instalação. Af_07/2025,0.0,198.63,0.0
mc_40d19568df,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 47 - 101902.0 - Contator Tripolar I Nominal 22A - Fornecimento E Instalação. Af_07/2025,0.0,244.69,0.0
mc_e3d130d836,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 48 - 101903.0 - Contator Tripolar I Nominal 38A - Fornecimento E Instalação. Af_07/2025,0.0,508.41,0.0
mc_282ad99b80,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 49 - 101900.0 - Disjuntor Baixa Tensão Tripolar A Seco 800A/600V - Fornecimento E Instalação. Af_07/2025,0.0,6226.05,0.0
mc_f6d85ce742,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 50 - 106030.0 - Disjuntor Bipolar Dr 63A - Fornecimento E Instalação. Af_07/2025,0.0,241.02,0.0
mc_e9d459ca18,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 51 - 93660.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 10A - Fornecimento E Instalação. Af_07/2025",0.0,79.13,0.0
mc_74d4c25e3b,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 52 - 93661.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 16A - Fornecimento E Instalação. Af_07/2025",0.0,79.13,0.0
mc_9170ca56bd,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 53 - 93662.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 20A - Fornecimento E Instalação. Af_07/2025",0.0,81.85,0.0
mc_29ce4568bc,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 54 - 93663.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",0.0,84.71,0.0
mc_d1d7f298b4,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 55 - 93664.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 32A - Fornecimento E Instalação. Af_07/2025",0.0,89.19,0.0
mc_46caf1a0f3,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 56 - 93665.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",0.0,95.2,0.0
mc_ef8aecdb22,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 57 - 93666.0 - Disjuntor Bipolar Tipo Din, Corrente Nominal De 50A - Fornecimento E Instalação. Af_07/2025",0.0,104.32,0.0
